2026-02-10 13:05:30.934 +01:00 [INF] 	App. Application Starting.
2026-02-10 13:05:30.985 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 13:07:54.691 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 13:23:11.633 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 13:53:11.609 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 14:23:11.623 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 14:53:11.619 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 15:23:11.639 +01:00 [INF] 	App. App_OnBackgroundActivated... 
2026-02-10 15:47:19.297 +01:00 [INF] 	App. OnSuspending. Suspending app... 
