2024-11-12 14:37:32.180 INFO  [2916] [PipeServerThread@104] enter function: PipeServerThread()
2024-11-12 14:37:32.180 INFO  [2916] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2024-11-12 14:37:32.180 INFO  [13592] [CaptureThread@446] enter function: CaptureThread()
2024-11-12 14:37:32.181 INFO  [2916] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 14:37:32.181 INFO  [13592] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2024-11-12 14:37:32.181 INFO  [2916] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte5
2024-11-12 14:37:32.181 INFO  [2916] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 14:37:32.181 INFO  [2916] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2024-11-12 14:37:32.181 INFO  [13592] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:37:32.182 INFO  [13592] [ProcessCameraCommand@154] command: 16
2024-11-12 14:37:32.182 INFO  [13592] [ProcessCameraCommand@389] g_isStore = 1
2024-11-12 14:37:32.241 INFO  [13592] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:37:32.241 INFO  [13592] [ProcessCameraCommand@154] command: 14
2024-11-12 14:37:32.702 INFO  [13592] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:37:32.702 INFO  [13592] [ProcessCameraCommand@154] command: 11
2024-11-12 14:37:32.702 INFO  [13592] [ProcessCameraCommand@283] camCmdSetResolution: width = 640, height = 480, fps = 30
2024-11-12 14:37:32.732 INFO  [13592] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:37:32.733 INFO  [13592] [ProcessCameraCommand@154] command: 2
2024-11-12 14:37:32.733 INFO  [13592] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:37:32.733 INFO  [13592] [ProcessCameraCommand@154] command: 13
2024-11-12 14:50:37.675 INFO  [4284] [InitLog@108] -------------------------------- create a new logger!
2024-11-12 14:50:37.678 INFO  [4284] [InitLog@109] processName = OmenCommandCenterBackground
2024-11-12 14:50:37.678 INFO  [4284] [InitLog@124] -------------------------------- InitLog(), version = 1101.2403.1.0
2024-11-12 14:50:37.678 INFO  [4284] [InitLog@125] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2403.1.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2024-11-12 14:50:37.678 INFO  [4284] [CreatePipeServer@114] enter function: CreatePipeServer()
2024-11-12 14:50:37.678 INFO  [4284] [StartMainThread@546] enter function: StartMainThread()
2024-11-12 14:50:37.678 INFO  [14376] [PipeServerThread@104] enter function: PipeServerThread()
2024-11-12 14:50:37.678 INFO  [11312] [CaptureThread@446] enter function: CaptureThread()
2024-11-12 14:50:37.678 INFO  [11312] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2024-11-12 14:50:37.679 INFO  [14376] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2024-11-12 14:50:37.679 INFO  [14376] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 14:50:37.679 INFO  [14376] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte1
2024-11-12 14:50:37.679 INFO  [14376] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 14:50:37.679 INFO  [14376] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2024-11-12 14:50:37.680 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:50:37.680 INFO  [11312] [ProcessCameraCommand@154] command: 16
2024-11-12 14:50:37.680 INFO  [11312] [ProcessCameraCommand@389] g_isStore = 1
