2025-12-05 02:49:34.468 INFO  [3496] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 02:49:34.469 INFO  [3496] [ProcessCameraCommand@154] command: 14
2025-12-05 02:49:34.469 INFO  [3496] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 02:49:49.982 INFO  [3496] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 02:49:49.982 INFO  [3496] [ProcessCameraCommand@154] command: 14
2025-12-05 02:52:20.519 INFO  [3496] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 02:52:20.519 INFO  [3496] [ProcessCameraCommand@154] command: 14
2025-12-05 02:52:20.519 INFO  [3496] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 09:00:06.284 INFO  [10772] [InitLog@123] -------------------------------- create a new logger!
2025-12-05 09:00:06.285 INFO  [10772] [InitLog@124] processName = OmenCommandCenterBackground
2025-12-05 09:00:06.285 INFO  [10772] [InitLog@139] -------------------------------- InitLog(), version = 1101.2511.2.0
2025-12-05 09:00:06.285 INFO  [10772] [InitLog@140] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2511.2.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2025-12-05 09:00:06.285 INFO  [10772] [CreatePipeServer@114] enter function: CreatePipeServer()
2025-12-05 09:00:06.285 INFO  [10772] [StartMainThread@575] enter function: StartMainThread()
2025-12-05 09:00:06.286 INFO  [15740] [CaptureThread@462] enter function: CaptureThread()
2025-12-05 09:00:06.286 INFO  [16396] [PipeServerThread@104] enter function: PipeServerThread()
2025-12-05 09:00:06.286 INFO  [15740] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2025-12-05 09:00:06.286 INFO  [16396] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2025-12-05 09:00:06.287 INFO  [16396] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2025-12-05 09:00:06.287 INFO  [16396] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte3
2025-12-05 09:00:06.287 INFO  [16396] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2025-12-05 09:00:06.287 INFO  [16396] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2025-12-05 09:00:06.287 INFO  [15740] [CaptureThread@476] CreateMutex(mutex_getNvVfxLib_vcam)
2025-12-05 09:00:06.287 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 09:00:06.287 INFO  [15740] [ProcessCameraCommand@154] command: 16
2025-12-05 09:00:06.287 INFO  [15740] [ProcessCameraCommand@389] g_isStore = 1
2025-12-05 09:00:06.287 INFO  [15740] [CaptureThread@553] ReleaseMutex(mutex_getNvVfxLib_vcam)
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@154] command: 11
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@283] camCmdSetResolution: width = 1920, height = 1080, fps = 30
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@154] command: 2
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 09:00:06.338 INFO  [15740] [ProcessCameraCommand@154] command: 13
2025-12-05 10:34:32.873 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 10:34:32.874 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 10:34:32.874 INFO  [15740] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 10:34:48.341 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 10:34:48.341 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 10:45:04.500 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 10:45:04.500 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 10:45:04.500 INFO  [15740] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 10:46:36.688 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 10:46:36.688 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 10:46:36.688 INFO  [15740] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 13:53:25.148 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 13:53:25.148 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 13:53:25.148 INFO  [15740] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 13:58:14.897 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 13:58:14.897 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 13:58:14.897 INFO  [15740] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 13:58:16.354 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 13:58:16.354 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 13:58:16.354 INFO  [15740] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 14:01:05.595 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 14:01:05.596 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 14:01:05.596 INFO  [15740] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 14:01:18.914 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 14:01:18.914 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 14:01:18.914 INFO  [15740] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 14:13:32.972 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 14:13:32.972 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 14:13:32.973 INFO  [15740] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 14:13:41.509 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
