2024-12-17 22:25:32.366 INFO  [20732] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2024-12-17 22:25:32.366 INFO  [20732] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2024-12-17 22:25:32.366 INFO  [20732] [CVCam::~CVCam@366] CVCam::~CVCam()
2024-12-17 22:25:32.366 INFO  [20732] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2025-02-19 09:28:33.832 INFO  [10032] [InitLog@251] -------------------------------- create a new logger!
2025-02-19 09:28:33.834 INFO  [10032] [InitLog@252] processName = msedge
2025-02-19 09:28:33.834 INFO  [10032] [InitLog@269] -------------------------------- InitLog()
2025-02-19 09:28:33.834 INFO  [10032] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2025-02-19 09:28:33.834 INFO  [10032] [QueryConfig@29] QueryConfig()
2025-02-19 09:28:33.834 INFO  [10032] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2025-02-19 09:28:33.834 INFO  [10032] [QueryConfig@58] Width = 1920
2025-02-19 09:28:33.834 INFO  [10032] [QueryConfig@59] Height = 1080
2025-02-19 09:28:33.834 INFO  [10032] [QueryConfig@60] Fps = 30
2025-02-19 09:28:33.834 INFO  [10032] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2025-02-19 09:28:33.834 INFO  [10032] [CVCam::CVCam@355] CVCam::CVCam()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::CVCamStream@394] CVCamStream()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2025-02-19 09:28:33.834 INFO  [10032] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::Get@827] CVCamStream::Get()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-02-19 09:28:33.834 INFO  [10032] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2025-02-19 09:28:33.834 INFO  [10032] [CVCam::~CVCam@366] CVCam::~CVCam()
2025-02-19 09:28:33.834 INFO  [10032] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2025-03-06 15:23:37.825 INFO  [18732] [InitLog@251] -------------------------------- create a new logger!
2025-03-06 15:23:37.828 INFO  [18732] [InitLog@252] processName = msedge
2025-03-06 15:23:37.828 INFO  [18732] [InitLog@269] -------------------------------- InitLog()
2025-03-06 15:23:37.828 INFO  [18732] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2025-03-06 15:23:37.828 INFO  [18732] [QueryConfig@29] QueryConfig()
2025-03-06 15:23:37.828 INFO  [18732] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2025-03-06 15:23:37.828 INFO  [18732] [QueryConfig@58] Width = 1920
2025-03-06 15:23:37.828 INFO  [18732] [QueryConfig@59] Height = 1080
2025-03-06 15:23:37.828 INFO  [18732] [QueryConfig@60] Fps = 30
2025-03-06 15:23:37.828 INFO  [18732] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2025-03-06 15:23:37.828 INFO  [18732] [CVCam::CVCam@355] CVCam::CVCam()
2025-03-06 15:23:37.828 INFO  [18732] [CVCamStream::CVCamStream@394] CVCamStream()
2025-03-06 15:23:37.828 INFO  [18732] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2025-03-06 15:23:37.828 INFO  [18732] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-06 15:23:37.828 INFO  [18732] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-06 15:23:37.828 INFO  [18732] [CVCamStream::Get@827] CVCamStream::Get()
2025-03-06 15:23:37.829 INFO  [18732] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-06 15:23:37.829 INFO  [18732] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-06 15:23:37.829 INFO  [18732] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2025-03-06 15:23:37.829 INFO  [18732] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2025-03-06 15:23:37.829 INFO  [18732] [CVCam::~CVCam@366] CVCam::~CVCam()
2025-03-06 15:23:37.829 INFO  [18732] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2025-03-07 07:48:55.905 INFO  [10528] [InitLog@251] -------------------------------- create a new logger!
2025-03-07 07:48:55.906 INFO  [10528] [InitLog@252] processName = msedge
2025-03-07 07:48:55.906 INFO  [10528] [InitLog@269] -------------------------------- InitLog()
2025-03-07 07:48:55.906 INFO  [10528] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2025-03-07 07:48:55.906 INFO  [10528] [QueryConfig@29] QueryConfig()
2025-03-07 07:48:55.906 INFO  [10528] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2025-03-07 07:48:55.906 INFO  [10528] [QueryConfig@58] Width = 1920
2025-03-07 07:48:55.906 INFO  [10528] [QueryConfig@59] Height = 1080
2025-03-07 07:48:55.906 INFO  [10528] [QueryConfig@60] Fps = 30
2025-03-07 07:48:55.906 INFO  [10528] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2025-03-07 07:48:55.906 INFO  [10528] [CVCam::CVCam@355] CVCam::CVCam()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::CVCamStream@394] CVCamStream()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2025-03-07 07:48:55.906 INFO  [10528] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::Get@827] CVCamStream::Get()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-07 07:48:55.906 INFO  [10528] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2025-03-07 07:48:55.906 INFO  [10528] [CVCam::~CVCam@366] CVCam::~CVCam()
2025-03-07 07:48:55.906 INFO  [10528] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2025-03-07 09:03:39.746 INFO  [10528] [InitLog@228] -------------------------------- using existing logger!
2025-03-07 09:03:39.746 INFO  [10528] [InitLog@269] -------------------------------- InitLog()
2025-03-07 09:03:39.746 INFO  [10528] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2025-03-07 09:03:39.746 INFO  [10528] [QueryConfig@29] QueryConfig()
2025-03-07 09:03:39.746 INFO  [10528] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2025-03-07 09:03:39.747 INFO  [10528] [QueryConfig@58] Width = 1920
2025-03-07 09:03:39.747 INFO  [10528] [QueryConfig@59] Height = 1080
2025-03-07 09:03:39.747 INFO  [10528] [QueryConfig@60] Fps = 30
2025-03-07 09:03:39.747 INFO  [10528] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2025-03-07 09:03:39.747 INFO  [10528] [CVCam::CVCam@355] CVCam::CVCam()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::CVCamStream@394] CVCamStream()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2025-03-07 09:03:39.747 INFO  [10528] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::Get@827] CVCamStream::Get()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-07 09:03:39.747 INFO  [10528] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
